epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,27417.4,0.74067,0.65634,1.26158,0.93297,0.91322,0.94816,0.57761,1.40353,0.63125,2.53115,0.0040105,0.0040105,0.0040105
123,27650.4,0.74053,0.65753,1.26186,0.9363,0.912,0.94882,0.57824,1.40337,0.63173,2.53239,0.003961,0.003961,0.003961
124,27871.8,0.73406,0.65286,1.26032,0.93711,0.91165,0.9487,0.57686,1.40334,0.63066,2.53382,0.0039115,0.0039115,0.0039115
125,28110.8,0.73538,0.65483,1.25507,0.9362,0.9113,0.94823,0.57725,1.40296,0.63052,2.53513,0.003862,0.003862,0.003862
126,28338.3,0.7253,0.64394,1.25007,0.93593,0.9122,0.94908,0.57704,1.40312,0.63073,2.53664,0.0038125,0.0038125,0.0038125
127,28556.2,0.72928,0.64248,1.25167,0.93453,0.91322,0.94891,0.5769,1.40316,0.63086,2.53802,0.003763,0.003763,0.003763
128,28785.8,0.72734,0.64095,1.25764,0.93205,0.91434,0.94897,0.57684,1.40316,0.63045,2.53951,0.0037135,0.0037135,0.0037135
129,29013.8,0.72547,0.6429,1.25156,0.93075,0.91436,0.94798,0.57748,1.40347,0.63049,2.54112,0.003664,0.003664,0.003664
130,29231.5,0.7203,0.64521,1.24883,0.92757,0.91544,0.94784,0.57858,1.40359,0.63011,2.54359,0.0036145,0.0036145,0.0036145
131,29473.4,0.7226,0.63717,1.24632,0.92775,0.91487,0.94764,0.57829,1.40422,0.62889,2.54602,0.003565,0.003565,0.003565
132,29697.4,0.7158,0.63002,1.24094,0.92681,0.91517,0.94753,0.57786,1.40441,0.62779,2.54738,0.0035155,0.0035155,0.0035155
133,29920.1,0.71254,0.61944,1.24117,0.92576,0.91543,0.94767,0.57801,1.40453,0.62792,2.54915,0.003466,0.003466,0.003466
134,30140.7,0.71206,0.62118,1.2429,0.92331,0.91658,0.94757,0.5791,1.40532,0.62788,2.55199,0.0034165,0.0034165,0.0034165
135,30372.3,0.71291,0.6239,1.24426,0.92232,0.91661,0.94748,0.57994,1.40592,0.62741,2.55391,0.003367,0.003367,0.003367
136,30620,0.7089,0.61886,1.24234,0.92153,0.91686,0.94732,0.58022,1.40619,0.62752,2.55603,0.0033175,0.0033175,0.0033175
137,30843.1,0.70113,0.61497,1.2312,0.92073,0.91795,0.94745,0.58007,1.40595,0.62751,2.55703,0.003268,0.003268,0.003268
138,31082.7,0.70083,0.61203,1.2333,0.91899,0.91901,0.94746,0.58017,1.40556,0.62718,2.55782,0.0032185,0.0032185,0.0032185
139,31316,0.69792,0.61275,1.23281,0.91883,0.91869,0.94748,0.5798,1.40532,0.62641,2.55952,0.003169,0.003169,0.003169
140,31538.7,0.69651,0.60379,1.22788,0.9181,0.91951,0.94778,0.57924,1.4052,0.62601,2.56136,0.0031195,0.0031195,0.0031195
141,31768.3,0.6922,0.6053,1.22777,0.91783,0.92,0.9478,0.5796,1.40522,0.62583,2.56284,0.00307,0.00307,0.00307
142,32005.2,0.68992,0.60188,1.223,0.9183,0.91956,0.94747,0.57972,1.40536,0.62606,2.56498,0.0030205,0.0030205,0.0030205
143,32228.9,0.68621,0.60072,1.22184,0.91869,0.91958,0.94735,0.57847,1.40605,0.62605,2.56789,0.002971,0.002971,0.002971
144,32470.2,0.6876,0.59524,1.22353,0.91834,0.91999,0.9478,0.57888,1.40629,0.62596,2.56967,0.0029215,0.0029215,0.0029215
145,32692.8,0.68767,0.59942,1.22085,0.91749,0.92052,0.94751,0.57897,1.40598,0.62611,2.57099,0.002872,0.002872,0.002872
146,32911.2,0.68289,0.59451,1.22429,0.91715,0.92076,0.94749,0.57959,1.40551,0.62593,2.57152,0.0028225,0.0028225,0.0028225
147,33132.5,0.67975,0.59207,1.21809,0.91696,0.92098,0.94724,0.5799,1.4055,0.62489,2.57323,0.002773,0.002773,0.002773
148,33358.7,0.67257,0.57932,1.21368,0.91719,0.92115,0.94731,0.57983,1.40595,0.62466,2.57545,0.0027235,0.0027235,0.0027235
149,33588.3,0.67714,0.58478,1.2157,0.91706,0.92131,0.94723,0.58021,1.40582,0.62405,2.57669,0.002674,0.002674,0.002674
150,33810.4,0.67126,0.57723,1.21337,0.91602,0.92042,0.94686,0.57914,1.40596,0.62354,2.57809,0.0026245,0.0026245,0.0026245
151,34033.9,0.66639,0.57871,1.20858,0.91601,0.92049,0.94717,0.57982,1.40578,0.62269,2.57905,0.002575,0.002575,0.002575
152,34260.3,0.65844,0.573,1.20162,0.91687,0.92118,0.94783,0.57916,1.40598,0.62231,2.58022,0.0025255,0.0025255,0.0025255
153,34479.1,0.67196,0.57969,1.20836,0.91729,0.92126,0.9475,0.57923,1.40592,0.62316,2.58131,0.002476,0.002476,0.002476
154,34696,0.65941,0.56761,1.20214,0.91694,0.92193,0.94756,0.5797,1.40587,0.62371,2.58264,0.0024265,0.0024265,0.0024265
155,34934.7,0.6545,0.56319,1.19342,0.91567,0.92218,0.94734,0.57887,1.4058,0.62367,2.58414,0.002377,0.002377,0.002377
156,35139.2,0.65671,0.56362,1.19983,0.91558,0.92227,0.94716,0.58002,1.40572,0.62345,2.58588,0.0023275,0.0023275,0.0023275
157,35361.2,0.65219,0.55778,1.19853,0.91574,0.92218,0.94715,0.57933,1.40568,0.62385,2.5869,0.002278,0.002278,0.002278
158,35561.8,0.64621,0.55446,1.1981,0.91449,0.92241,0.9476,0.5798,1.40573,0.6238,2.58854,0.0022285,0.0022285,0.0022285
159,35777.2,0.6514,0.55887,1.19854,0.91471,0.9226,0.94764,0.57986,1.40579,0.62397,2.58972,0.002179,0.002179,0.002179
160,35990.8,0.64366,0.54918,1.19097,0.91561,0.92247,0.9471,0.58031,1.40618,0.62407,2.59126,0.0021295,0.0021295,0.0021295
161,36200.5,0.64486,0.5473,1.1912,0.91484,0.92141,0.94645,0.57983,1.4063,0.62361,2.59272,0.00208,0.00208,0.00208
162,36422.5,0.64331,0.54334,1.19277,0.91508,0.92143,0.94665,0.58021,1.40613,0.62424,2.59415,0.0020305,0.0020305,0.0020305
163,36633.1,0.64226,0.54355,1.18913,0.91508,0.92154,0.94695,0.57994,1.40603,0.62488,2.59517,0.001981,0.001981,0.001981
164,36876.2,0.63364,0.54083,1.18649,0.91619,0.91982,0.94596,0.57942,1.40597,0.62486,2.59633,0.0019315,0.0019315,0.0019315
165,37092.3,0.63208,0.53152,1.1841,0.91748,0.92004,0.94622,0.57924,1.40607,0.62468,2.59769,0.001882,0.001882,0.001882
166,37293.1,0.63232,0.54067,1.18626,0.91749,0.92012,0.94628,0.57877,1.40617,0.62504,2.59892,0.0018325,0.0018325,0.0018325
167,37473.5,0.63354,0.53368,1.18389,0.91798,0.9199,0.94617,0.57889,1.40621,0.62454,2.60009,0.001783,0.001783,0.001783
168,37655.8,0.62305,0.52281,1.17716,0.91786,0.92,0.94639,0.57881,1.40663,0.62423,2.6019,0.0017335,0.0017335,0.0017335
169,37848,0.6255,0.53166,1.18078,0.91889,0.91875,0.94643,0.57982,1.4069,0.62369,2.60341,0.001684,0.001684,0.001684
170,38032.4,0.61621,0.52446,1.17333,0.91836,0.91958,0.94621,0.58046,1.40714,0.62344,2.60484,0.0016345,0.0016345,0.0016345
171,38212.3,0.62394,0.52993,1.17982,0.91837,0.91867,0.94621,0.57964,1.40745,0.62381,2.6063,0.001585,0.001585,0.001585
172,38385.7,0.61341,0.52132,1.17311,0.91857,0.91851,0.94622,0.57949,1.4079,0.62352,2.60865,0.0015355,0.0015355,0.0015355
173,38562.5,0.61041,0.52126,1.16777,0.91826,0.91848,0.9461,0.57918,1.40843,0.62402,2.61038,0.001486,0.001486,0.001486
174,38744.5,0.61098,0.51609,1.16529,0.92012,0.91779,0.94611,0.57882,1.40789,0.62395,2.61174,0.0014365,0.0014365,0.0014365
175,38948.5,0.60674,0.50958,1.16669,0.91982,0.91769,0.94589,0.57894,1.40852,0.62425,2.61384,0.001387,0.001387,0.001387
176,39139.5,0.60126,0.50435,1.16479,0.92315,0.91642,0.946,0.5793,1.40875,0.62416,2.61568,0.0013375,0.0013375,0.0013375
177,39365.6,0.60279,0.50583,1.16005,0.922,0.91692,0.94593,0.57934,1.40889,0.624,2.61741,0.001288,0.001288,0.001288
178,39586.4,0.59385,0.49975,1.15957,0.92421,0.91605,0.9457,0.57995,1.40878,0.62426,2.61907,0.0012385,0.0012385,0.0012385
